standard_incidence_angles,standard_offsets,standard_refraction_angles,,,,materials-A_incidence_angles,materials-A_offsets,materials-A_refraction_angles,,,,materials-B_incidence_angles,materials-B_offsets,materials-B_refraction_angles,,,,materials-C_incidence_angles,materials-C_offsets,materials-C_refraction_angles,,,,thicks-A_incidence_angles,thicks-A_offsets,thicks-A_refraction_angles,,,,thicks-B_incidence_angles,thicks-B_offsets,thicks-B_refraction_angles,,,,thicks-C_incidence_angles,thicks-C_offsets,thicks-C_refraction_angles
16.36363636,0.00211829,12.22955731,,,,16.36363636,0.00207263,11.96200341,,,,16.36363636,0.001947415,11.2296243,,,,16.36363636,0.001829575,10.54207199,,,,16.36363636,0.021182899,12.22955731,,,,16.36363636,0.21182899,12.22955731,,,,16.36363636,2.118289901,12.22955731
17.27272727,0.002232484,12.89989928,,,,17.27272727,0.002184362,12.61720219,,,,17.27272727,0.002052398,11.84353532,,,,17.27272727,0.001928205,11.11742918,,,,17.27272727,0.02232484,12.89989928,,,,17.27272727,0.223248403,12.89989928,,,,17.27272727,2.232484025,12.89989928
18.18181818,0.002346116,13.56872982,,,,18.18181818,0.002295545,13.27084533,,,,18.18181818,0.002156864,12.45579718,,,,18.18181818,0.002026349,11.69108387,,,,18.18181818,0.023461161,13.56872982,,,,18.18181818,0.234611613,13.56872982,,,,18.18181818,2.346116133,13.56872982
19.09090909,0.002459158,14.23595886,,,,19.09090909,0.00240615,13.92284072,,,,19.09090909,0.002260786,13.06631396,,,,19.09090909,0.002123983,12.26293852,,,,19.09090909,0.024591576,14.23595886,,,,19.09090909,0.245915762,14.23595886,,,,19.09090909,2.459157619,14.23595886
20,0.00257158,14.90149465,,,,20,0.002516149,14.57309467,,,,20,0.00236414,13.67498828,,,,20,0.002221083,12.83289439,,,,20,0.0257158,14.90149465,,,,20,0.257158003,14.90149465,,,,20,2.571580025,14.90149465
20.90909091,0.002683355,15.56524368,,,,20.90909091,0.002625515,15.22151174,,,,20.90909091,0.002466899,14.28172127,,,,20.90909091,0.002317624,13.40085143,,,,20.90909091,0.02683355,15.56524368,,,,20.90909091,0.268335505,15.56524368,,,,20.90909091,2.68335505,15.56524368
21.81818182,0.002794455,16.22711055,,,,21.81818182,0.002734219,15.8679947,,,,21.81818182,0.002569036,14.88641244,,,,21.81818182,0.002413581,13.96670826,,,,21.81818182,0.027944546,16.22711055,,,,21.81818182,0.279445455,16.22711055,,,,21.81818182,2.794454554,16.22711055
22.72727273,0.002904851,16.8869979,,,,22.72727273,0.002842236,16.51244442,,,,22.72727273,0.002670527,15.48895969,,,,22.72727273,0.00250893,14.5303621,,,,22.72727273,0.029048506,16.8869979,,,,22.72727273,0.290485057,16.8869979,,,,22.72727273,2.904850569,16.8869979
23.63636364,0.003014515,17.54480628,,,,23.63636364,0.002949537,17.15475976,,,,23.63636364,0.002771345,16.08925914,,,,23.63636364,0.002603648,15.09170869,,,,23.63636364,0.030145153,17.54480628,,,,23.63636364,0.30145153,17.54480628,,,,23.63636364,3.014515304,17.54480628
24.54545455,0.003123421,18.20043405,,,,24.54545455,0.003056095,17.79483751,,,,24.54545455,0.002871466,16.68720511,,,,24.54545455,0.00269771,15.65064224,,,,24.54545455,0.031234212,18.20043405,,,,24.54545455,0.312342115,18.20043405,,,,24.54545455,3.12342115,18.20043405
25.45454545,0.003231541,18.85377728,,,,25.45454545,0.003161884,18.43257221,,,,25.45454545,0.002970864,17.28269002,,,,25.45454545,0.002791094,16.20705538,,,,25.45454545,0.032315407,18.85377728,,,,25.45454545,0.323154069,18.85377728,,,,25.45454545,3.231540692,18.85377728
26.36363636,0.003338847,19.50472964,,,,26.36363636,0.003266877,19.06785616,,,,26.36363636,0.003069514,17.87560432,,,,26.36363636,0.002883774,16.76083909,,,,26.36363636,0.033388467,19.50472964,,,,26.36363636,0.333884671,19.50472964,,,,26.36363636,3.338846711,19.50472964
27.27272727,0.003445312,20.15318229,,,,27.27272727,0.003371048,19.70057921,,,,27.27272727,0.003167391,18.46583639,,,,27.27272727,0.002975729,17.31188266,,,,27.27272727,0.034453122,20.15318229,,,,27.27272727,0.344531219,20.15318229,,,,27.27272727,3.445312193,20.15318229
28.18181818,0.00355091,20.79902373,,,,28.18181818,0.00347437,20.33062871,,,,28.18181818,0.003264471,19.05327249,,,,28.18181818,0.003066934,17.86007359,,,,28.18181818,0.035509103,20.79902373,,,,28.18181818,0.355091034,20.79902373,,,,28.18181818,3.550910337,20.79902373
29.09090909,0.003655615,21.44213973,,,,29.09090909,0.003576817,20.95788943,,,,29.09090909,0.003360729,19.63779666,,,,29.09090909,0.003157368,18.4052976,,,,29.09090909,0.036556146,21.44213973,,,,29.09090909,0.365561456,21.44213973,,,,29.09090909,3.655614557,21.44213973
30,0.003759398,22.08241319,,,,30,0.003678364,21.58224337,,,,30,0.003456142,20.21929065,,,,30,0.003247006,18.9474385,,,,30,0.037593985,22.08241319,,,,30,0.37593985,22.08241319,,,,30,3.759398496,22.08241319
30.90909091,0.003862236,22.71972404,,,,30.90909091,0.003778985,22.20356972,,,,30.90909091,0.003550684,20.79763386,,,,30.90909091,0.003335827,19.4863782,,,,30.90909091,0.03862236,22.71972404,,,,30.90909091,0.386223603,22.71972404,,,,30.90909091,3.862236027,22.71972404
31.81818182,0.003964101,23.35394907,,,,31.81818182,0.003878654,22.82174474,,,,31.81818182,0.003644332,21.37270321,,,,31.81818182,0.003423809,20.02199662,,,,31.81818182,0.039641013,23.35394907,,,,31.81818182,0.396410126,23.35394907,,,,31.81818182,3.96410126,23.35394907
32.72727273,0.004064969,23.98496186,,,,32.72727273,0.003977347,23.43664164,,,,32.72727273,0.003737062,21.94437312,,,,32.72727273,0.003510928,20.55417167,,,,32.72727273,0.040649686,23.98496186,,,,32.72727273,0.406496855,23.98496186,,,,32.72727273,4.064968552,23.98496186
33.63636364,0.004164813,24.61263261,,,,33.63636364,0.004075039,24.04813044,,,,33.63636364,0.003828852,22.51251542,,,,33.63636364,0.003597164,21.08277916,,,,33.63636364,0.041648125,24.61263261,,,,33.63636364,0.416481251,24.61263261,,,,33.63636364,4.16481251,24.61263261
34.54545455,0.004263608,25.23682805,,,,34.54545455,0.004171705,24.65607792,,,,34.54545455,0.003919678,23.07699925,,,,34.54545455,0.003682494,21.6076928,,,,34.54545455,0.04263608,25.23682805,,,,34.54545455,0.4263608,25.23682805,,,,34.54545455,4.263607999,25.23682805
35.45454545,0.00436133,25.8574113,,,,35.45454545,0.004267321,25.26034746,,,,35.45454545,0.004009518,23.63769101,,,,35.45454545,0.003766897,22.12878414,,,,35.45454545,0.043613301,25.8574113,,,,35.45454545,0.436133015,25.8574113,,,,35.45454545,4.361330147,25.8574113
36.36363636,0.004457954,26.47424173,,,,36.36363636,0.004361862,25.86079895,,,,36.36363636,0.004098347,24.19445432,,,,36.36363636,0.003850352,22.64592253,,,,36.36363636,0.044579544,26.47424173,,,,36.36363636,0.445795435,26.47424173,,,,36.36363636,4.457954354,26.47424173
37.27272727,0.004553456,27.08717484,,,,37.27272727,0.004455306,26.45728869,,,,37.27272727,0.004186146,24.74714987,,,,37.27272727,0.003932837,23.15897506,,,,37.27272727,0.045534563,27.08717484,,,,37.27272727,0.455345629,27.08717484,,,,37.27272727,4.553456294,27.08717484
38.18181818,0.004647812,27.69606213,,,,38.18181818,0.004547627,27.04966925,,,,38.18181818,0.00427289,25.29563545,,,,38.18181818,0.004014332,23.66780658,,,,38.18181818,0.046478119,27.69606213,,,,38.18181818,0.464781193,27.69606213,,,,38.18181818,4.647811926,27.69606213
39.09090909,0.004740997,28.30075099,,,,39.09090909,0.004638804,27.63778937,,,,39.09090909,0.004358559,25.83976584,,,,39.09090909,0.004094817,24.17227963,,,,39.09090909,0.047409975,28.30075099,,,,39.09090909,0.47409975,28.30075099,,,,39.09090909,4.740997497,28.30075099
40,0.00483299,28.90108454,,,,40,0.004728813,28.22149389,,,,40,0.00444313,26.37939275,,,,40,0.004174271,24.67225444,,,,40,0.048329895,28.90108454,,,,40,0.483298955,28.90108454,,,,40,4.832989547,28.90108454
40.90909091,0.004923765,29.49690152,,,,40.90909091,0.004817632,28.80062361,,,,40.90909091,0.004526583,26.91436479,,,,40.90909091,0.004252674,25.1675889,,,,40.90909091,0.049237649,29.49690152,,,,40.90909091,0.492376492,29.49690152,,,,40.90909091,4.923764917,29.49690152
41.81818182,0.005013301,30.08803618,,,,41.81818182,0.004905238,29.3750152,,,,41.81818182,0.004608896,27.4445274,,,,41.81818182,0.004330006,25.65813854,,,,41.81818182,0.050133008,30.08803618,,,,41.81818182,0.501330076,30.08803618,,,,41.81818182,5.013300756,30.08803618
42.72727273,0.005101575,30.67431813,,,,42.72727273,0.004991609,29.94450111,,,,42.72727273,0.004690049,27.96972283,,,,42.72727273,0.004406249,26.14375655,,,,42.72727273,0.051015745,30.67431813,,,,42.72727273,0.510157452,30.67431813,,,,42.72727273,5.101574523,30.67431813
43.63636364,0.005188564,31.25557226,,,,43.63636364,0.005076723,30.50890947,,,,43.63636364,0.004770022,28.48979011,,,,43.63636364,0.004481382,26.62429374,,,,43.63636364,0.05188564,31.25557226,,,,43.63636364,0.5188564,31.25557226,,,,43.63636364,5.188563996,31.25557226
44.54545455,0.005274247,31.83161861,,,,44.54545455,0.00516056,31.06806402,,,,44.54545455,0.004848793,29.00456498,,,,44.54545455,0.004555387,27.09959858,,,,44.54545455,0.052742473,31.83161861,,,,44.54545455,0.527424728,31.83161861,,,,44.54545455,5.274247276,31.83161861
45.45454545,0.005358603,32.40227226,,,,45.45454545,0.005243097,31.62178402,,,,45.45454545,0.004926344,29.51387992,,,,45.45454545,0.004628245,27.56951722,,,,45.45454545,0.053586028,32.40227226,,,,45.45454545,0.535860279,32.40227226,,,,45.45454545,5.358602792,32.40227226
46.36363636,0.005441609,32.96734322,,,,46.36363636,0.005324314,32.1698842,,,,46.36363636,0.005002655,30.01756412,,,,46.36363636,0.004699938,28.03389346,,,,46.36363636,0.054416093,32.96734322,,,,46.36363636,0.544160931,32.96734322,,,,46.36363636,5.441609309,32.96734322
47.27272727,0.005523246,33.52663638,,,,47.27272727,0.005404191,32.71217466,,,,47.27272727,0.005077706,30.51544346,,,,47.27272727,0.004770448,28.49256885,,,,47.27272727,0.055232459,33.52663638,,,,47.27272727,0.552324593,33.52663638,,,,47.27272727,5.52324593,33.52663638
48.18181818,0.005603492,34.0799514,,,,48.18181818,0.005482708,33.24846086,,,,48.18181818,0.005151479,31.00734054,,,,48.18181818,0.004839757,28.94538266,,,,48.18181818,0.056034921,34.0799514,,,,48.18181818,0.56034921,34.0799514,,,,48.18181818,5.603492103,34.0799514
49.09090909,0.005682328,34.62708264,,,,49.09090909,0.005559844,33.77854356,,,,49.09090909,0.005223955,31.49307471,,,,49.09090909,0.004907847,29.39217199,,,,49.09090909,0.056823276,34.62708264,,,,49.09090909,0.568232763,34.62708264,,,,49.09090909,5.682327627,34.62708264
50,0.005759733,35.1678191,,,,50,0.00563558,34.3022188,,,,50,0.005295116,31.97246208,,,,50,0.004974702,29.8327718,,,,50,0.057597327,35.1678191,,,,50,0.575973266,35.1678191,,,,50,5.759732655,35.1678191
